1	0	0	2.4056261e-2	4.41089376980272e-4	-3.532461734331e-6	-1.924506402659909e-4	-1.78535749256213e-5	-1.8600511940717e-5	-8.106123685776e-6	1.8600511940717e-5	8.106123685776e-6
2	0	0	4.8112522e-2	1.486794068794871e-3	1.57517371425869e-4	-5.71050575414975e-4	-7.1349080772288e-5	4.46460305548957e-4	-7.3901770513193e-5	-4.46460305548957e-4	7.3901770513193e-5
3	0	0	7.2168784e-2	1.004012406907922e-3	8.5992827733571e-5	-3.752968549179301e-4	-3.90132050309566e-5	3.40073035427126e-4	-4.5247497368583e-5	-3.40073035427126e-4	4.5247497368583e-5
4	0	0	9.6225045e-2	6.67874981359316e-4	5.1947452313581e-5	-2.45691728768086e-4	-2.3155332643485e-5	2.43993150175668e-4	-2.5704944162589e-5	-2.43993150175668e-4	2.5704944162589e-5
5	0	0	1.2028131e-1	4.30431249510416e-4	3.2243435260100e-5	-1.56176395551659e-4	-1.4112755057940e-5	1.66322198177581e-4	-1.4495595745513e-5	-1.66322198177581e-4	1.4495595745513e-5
6	0	0	1.4433757e-1	2.7996391279062e-4	2.040597515625e-5	-1.00883060173665e-4	-8.635880084908e-6	1.12867840870492e-4	-8.147928977404e-6	-1.12867840870492e-4	8.147928977404e-6
7	0	0	1.6839383e-1	1.7197895351698e-4	1.277963823967e-5	-6.122517062892e-5	-5.31290254724e-6	7.166459189341e-5	-4.61506752468e-6	-7.166459189341e-5	4.61506752468e-6
8	0	0	1.9245009e-1	1.1106043952106e-4	8.23938666702e-6	-3.947689213286e-5	-3.20876656645e-6	4.801876458014e-5	-2.52456128177e-6	-4.801876458014e-5	2.52456128177e-6
9	0	0	2.1650635e-1	5.94638041216e-5	4.7553492138e-6	-2.077838932569e-5	-1.83956501936e-6	2.61430431402e-5	-1.3616693615e-6	-2.61430431402e-5	1.3616693615e-6
10	0	0	2.4056261e-1	3.86316616741e-5	3.1365730552e-6	-1.35655000540e-5	-1.0438231243e-6	1.79721689925e-5	-6.229428874e-7	-1.79721689925e-5	6.229428874e-7
